vt_symbol,orderid,tradeid,direction,offset,price,volume,time
IF888.CFFEX,70,70,Direction.LONG,Offset.CLOSE,4004.4,1,14:14:00
IF888.CFFEX,71,71,Direction.LONG,Offset.OPEN,4010.2000000000003,1,14:15:00
IF888.CFFEX,72,72,Direction.SHORT,Offset.CLOSE,4019.0,1,13:29:00
IF888.CFFEX,73,73,Direction.LONG,Offset.OPEN,4029.4,1,13:45:00
IF888.CFFEX,74,74,Direction.SHORT,Offset.CLOSE,3998.2,1,14:16:00
IF888.CFFEX,75,75,Direction.SHORT,Offset.OPEN,3999.8,1,14:17:00
IF888.CFFEX,76,76,Direction.LONG,Offset.CLOSE,4027.6,1,14:39:00
IF888.CFFEX,77,77,Direction.LONG,Offset.OPEN,4040.8,1,14:52:00
IF888.CFFEX,78,78,Direction.SHORT,Offset.CLOSE,4009.4,1,09:34:00
IF888.CFFEX,79,79,Direction.SHORT,Offset.OPEN,4007.8,1,09:35:00
IF888.CFFEX,80,80,Direction.LONG,Offset.CLOSE,4022.4,1,10:55:00
IF888.CFFEX,81,81,Direction.LONG,Offset.OPEN,4022.2000000000003,1,10:56:00
IF888.CFFEX,82,82,Direction.SHORT,Offset.CLOSE,4048.8,1,14:31:00
IF888.CFFEX,83,83,Direction.SHORT,Offset.OPEN,4046.2000000000003,1,14:32:00
IF888.CFFEX,84,84,Direction.LONG,Offset.CLOSE,3983.6,1,13:51:00
IF888.CFFEX,85,85,Direction.LONG,Offset.OPEN,3984.0,1,13:52:00
IF888.CFFEX,86,86,Direction.SHORT,Offset.CLOSE,3962.0,1,14:41:00
IF888.CFFEX,87,87,Direction.SHORT,Offset.OPEN,3955.8,1,14:42:00
IF888.CFFEX,88,88,Direction.LONG,Offset.CLOSE,3954.8,1,14:33:00
IF888.CFFEX,89,89,Direction.LONG,Offset.OPEN,3957.4,1,14:34:00
IF888.CFFEX,90,90,Direction.SHORT,Offset.CLOSE,4013.6,1,10:35:00
IF888.CFFEX,91,91,Direction.SHORT,Offset.OPEN,4010.0,1,10:36:00
IF888.CFFEX,92,92,Direction.LONG,Offset.CLOSE,3936.8,1,10:31:00
IF888.CFFEX,93,93,Direction.LONG,Offset.OPEN,3936.8,1,10:32:00
IF888.CFFEX,94,94,Direction.SHORT,Offset.CLOSE,4021.6,1,10:19:00
IF888.CFFEX,95,95,Direction.LONG,Offset.OPEN,4038.4,1,10:41:00
IF888.CFFEX,96,96,Direction.SHORT,Offset.CLOSE,4033.2,1,14:15:00
IF888.CFFEX,97,97,Direction.SHORT,Offset.OPEN,4028.2000000000003,1,14:16:00
IF888.CFFEX,98,98,Direction.LONG,Offset.CLOSE,4054.6,1,14:40:00
IF888.CFFEX,99,99,Direction.LONG,Offset.OPEN,4055.4,1,14:41:00
IF888.CFFEX,100,100,Direction.SHORT,Offset.CLOSE,4023.8,1,09:59:00
IF888.CFFEX,101,101,Direction.SHORT,Offset.OPEN,4020.0,1,10:05:00
IF888.CFFEX,102,102,Direction.LONG,Offset.CLOSE,4045.0,1,10:51:00
IF888.CFFEX,103,103,Direction.LONG,Offset.OPEN,4044.6,1,10:52:00
IF888.CFFEX,104,104,Direction.SHORT,Offset.CLOSE,4057.8,1,10:03:00
IF888.CFFEX,105,105,Direction.SHORT,Offset.OPEN,4057.0,1,10:04:00
IF888.CFFEX,106,106,Direction.LONG,Offset.CLOSE,4017.6,1,11:19:00
IF888.CFFEX,107,107,Direction.LONG,Offset.OPEN,4023.0,1,11:20:00
IF888.CFFEX,108,108,Direction.SHORT,Offset.CLOSE,4051.8,1,09:35:00
IF888.CFFEX,109,109,Direction.SHORT,Offset.OPEN,4053.0,1,09:36:00
IF888.CFFEX,110,110,Direction.LONG,Offset.CLOSE,4044.2,1,10:39:00
IF888.CFFEX,111,111,Direction.LONG,Offset.OPEN,4044.4,1,10:40:00
IF888.CFFEX,112,112,Direction.SHORT,Offset.CLOSE,4012.4,1,11:00:00
IF888.CFFEX,113,113,Direction.LONG,Offset.OPEN,4027.4,1,11:04:00
IF888.CFFEX,114,114,Direction.SHORT,Offset.CLOSE,4000.6,1,11:08:00
IF888.CFFEX,115,115,Direction.SHORT,Offset.OPEN,4003.2,1,11:09:00
IF888.CFFEX,116,116,Direction.LONG,Offset.CLOSE,3983.8,1,14:14:00
IF888.CFFEX,117,117,Direction.LONG,Offset.OPEN,3982.2,1,14:15:00
IF888.CFFEX,118,118,Direction.SHORT,Offset.CLOSE,3953.8,1,14:29:00
IF888.CFFEX,119,119,Direction.SHORT,Offset.OPEN,3947.8,1,14:31:00
